Keyword ID,Keyword,Search Volume,CPC,Traffic Cost,Traffic,Traffic Cost (%),Traffic (%),Competition
1,PMP Certification,12681,4.32,962,260,148.00%,139.02%,0.45
2,Scrum Master Certification,4935,3.34,354,108,54.27%,57.58%,0.49
3,AWS Certification,475,1.34,3,3,0.50%,1.25%,0.23
4,ITIL Certification,1507,3.62,85,36,12.83%,19.22%,0.41
5,TOGAF Certification,733,2.99,22,9,3.11%,4.22%,0.42
6,Simplilearn,718,2.78,53,26,7.84%,13.40%,0.22
7,PMI Certification,1618,4.17,221,66,33.75%,34.75%,0.60
8,Project Management Certification,6513,5.67,188,38,28.62%,19.85%,0.52
9,Scale agile certification,2173,3.77,53,14,8.00%,7.00%,0.41
10,cspo,2828,15.50,127,31,19.50%,16.00%,0.32
11,Safe Certification,2233,4.02,107,28,16.33%,15.00%,0.50
12,others,326,5.96,8,3,1.14%,1.43%,0.35
